name,type,location,lon,lat,year_founded,owner_publisher,pages,language,printing_location,printed,printed_caveat,distributed,comment
Pyidaungsu Union Daily,political party daily,Dawei,98.189521,14.076799,,,,,,,,,
Kyaymon (The Mirror),state daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Myanma Alinn,state daily,Hpa-An,97.636909,16.880764,,,,,,,,,
The Global New Light of Myanmar,state daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Myawaddy Daily,military daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Standard Time Daily,private daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Daily Eleven,private daily,Hpa-An,97.636909,16.880764,,,,,,,,,
7 Day Daily,private daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Democracy Today,private daily,Hpa-An,97.636909,16.880764,,,,,,,,,
The Voice Daily,private daily,Hpa-An,97.636909,16.880764,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Hpa-An,97.636909,16.880764,,,,,,,,,
MOI News & Periodicals Enterprise printing & distribution center,state distributor,Monywa,95.139633,22.121679,,,,,,,,,
MOI News & Periodicals Enterprise printing & distribution center,state distributor,Kengtung,99.6036,21.291885,,,,,,,,,
MOI News & Periodicals Enterprise printing & distribution center,state distributor,Lashio,97.747467,22.952765,,,,,,,,,
MOI News & Periodicals Enterprise printing & distribution center,state distributor,Magway,94.926959,20.14027,,,,,,,,,
MOI News & Periodicals Enterprise printing & distribution center,state distributor,Myeik,98.609778,12.441122,,,,,,,,,
Kyaymon (The Mirror),state daily,Loikaw,97.20993,19.67424,,,,,,,,,
Myanma Alinn,state daily,Loikaw,97.20993,19.67424,,,,,,,,,
The Global New Light of Myanmar,state daily,Loikaw,97.20993,19.67424,,,,,,,,,
Myawaddy Daily,military daily,Loikaw,97.20993,19.67424,,,,,,,,,
Standard Time Daily,private daily,Loikaw,97.20993,19.67424,,,,,,,,,
Daily Eleven,private daily,Loikaw,97.20993,19.67424,,,,,,,,,
7 Day Daily,private daily,Loikaw,97.20993,19.67424,,,,,,,,,
Democracy Today,private daily,Loikaw,97.20993,19.67424,,,,,,,,,
The Voice Daily,private daily,Loikaw,97.20993,19.67424,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Loikaw,97.20993,19.67424,,,,,,,,,
Kyaymon (The Mirror),state daily,Magway,94.926959,20.14027,,,,,,,,,
Myanma Alinn,state daily,Magway,94.926959,20.14027,,,,,,,,,
The Global New Light of Myanmar,state daily,Magway,94.926959,20.14027,,,,,,,,,
Myawaddy Daily,military daily,Magway,94.926959,20.14027,,,,,,,,,
Standard Time Daily,private daily,Magway,94.926959,20.14027,,,,,,,,,
Daily Eleven,private daily,Magway,94.926959,20.14027,,,,,,,,,
7 Day Daily,private daily,Magway,94.926959,20.14027,,,,,,,,,
Democracy Today,private daily,Magway,94.926959,20.14027,,,,,,,,,
The Voice Daily,private daily,Magway,94.926959,20.14027,,,,,,,,,
Pyidaungsu Union Daily,political party daily,Magway,94.926959,20.14027,,,,,,,,,
Kyaymon (The Mirror),state daily,Lashio,94.926959,20.14027,,,,,,,,,
Myanma Alinn,state daily,Lashio,97.747467,22.952765,,,,,,,,,
The Global New Light of Myanmar,state daily,Lashio,97.747467,22.952765,,,,,,,,,
Myawaddy Daily,military daily,Lashio,97.747467,22.952765,,,,,,,,,
Standard Time Daily,private daily,Lashio,97.747467,22.952765,,,,,,,,,
